crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Potato,Loam,38,193,33.13,38.83,0.04,0.03,18.79,1.63,29.63,13.0,23.43,6.769,0.782,56.56,0.521,86.64,8,0.385,1,456.89
Apple,Loam,96,302,11.43,85.62,0.83,0.63,8.24,2.46,32.51,13.53,29.94,1.509,1.2,73.38,1.969,373.72,10,0.52,0,0.0
Grape,Sandy Loam,157,258,29.11,39.66,1.04,0.71,19.38,4.0,21.56,9.88,12.57,8.502,0.85,66.75,0.769,89.82,4,0.458,1,414.28
Tomato,Clay Loam,115,222,28.75,71.81,0.03,0.02,24.18,2.43,34.96,21.5,24.9,6.399,1.08,89.77,1.107,149.0,11,0.388,1,1364.61
Potato,Loam,126,8,10.65,68.36,0.05,0.03,5.69,2.78,30.97,14.43,30.47,1.763,0.803,55.43,0.44,72.78,8,0.358,0,0.0
Grape,Sandy,185,156,28.62,51.57,0.14,0.11,24.54,1.1,19.26,7.21,9.25,6.693,0.817,86.54,0.79,95.2,12,0.508,1,1096.54
Apple,Loam,8,310,11.36,70.71,24.41,17.0,9.48,1.03,32.85,14.71,23.15,1.888,0.45,84.73,1.715,311.1,9,0.534,1,1767.02
Potato,Sandy Loam,32,276,24.25,82.91,0.21,0.14,14.5,1.86,23.76,10.5,18.86,3.429,0.652,71.27,0.433,57.42,10,0.372,0,0.0
Potato,Loam,36,36,7.56,69.67,7.14,4.03,9.1,1.07,31.67,13.01,20.95,1.64,0.738,64.18,0.566,105.62,2,0.374,1,189.08
Grape,Loam,15,326,19.81,70.07,6.97,5.14,10.94,3.44,29.02,13.05,28.52,3.332,0.3,60.29,0.595,95.02,8,0.488,0,0.0
Tomato,Clay Loam,107,248,30.0,67.64,0.79,0.44,15.77,2.94,37.86,21.93,31.53,5.232,1.15,77.53,1.433,228.28,3,0.422,1,351.0
Tomato,Loam,98,8,13.29,75.91,2.19,1.49,8.59,3.86,30.04,14.89,29.54,2.176,1.15,66.67,1.228,186.04,4,0.408,0,0.0
Grape,Sandy Loam,162,314,17.64,58.84,1.72,1.11,15.37,3.94,21.6,9.08,18.21,4.49,0.85,55.82,0.966,120.94,2,0.508,0,0.0
Tomato,Clay Loam,71,254,23.66,66.44,0.18,0.09,15.87,2.48,34.22,21.56,33.64,4.498,1.15,55.51,0.834,105.58,11,0.424,1,330.54
Apple,Clay Loam,170,199,29.14,38.19,0.26,0.19,24.93,2.48,36.34,21.13,34.85,8.487,1.2,82.53,1.427,217.05,13,0.595,1,449.56
Tomato,Sandy Loam,14,256,22.54,68.18,0.08,0.04,21.05,1.43,22.48,10.41,18.37,5.003,0.6,72.6,1.192,143.87,9,0.372,0,0.0
Tomato,Sandy Loam,31,72,13.8,63.82,6.39,4.94,14.31,3.59,23.91,9.15,15.17,3.492,0.614,75.4,0.905,133.58,13,0.368,1,1363.74
Apple,Loam,134,274,8.28,68.97,0.16,0.1,12.33,4.37,32.59,14.74,28.78,2.472,1.2,60.84,1.901,339.33,7,0.555,0,0.0
Grape,Sandy Loam,155,126,22.99,48.96,0.91,0.67,22.12,1.06,24.01,10.71,17.99,5.621,0.85,65.89,0.804,106.93,11,0.475,1,808.03
Potato,Sandy Loam,102,176,26.79,50.25,0.01,0.01,20.43,0.54,23.74,10.01,20.68,5.21,1.123,60.56,0.464,63.71,3,0.359,1,70.34
Potato,Silt Loam,27,4,12.37,80.02,0.92,0.6,8.73,3.92,33.95,13.15,33.45,1.93,0.543,57.96,0.525,109.2,2,0.381,0,0.0
Tomato,Clay Loam,72,268,34.59,64.25,0.28,0.19,16.51,3.94,36.11,21.84,33.58,6.613,1.15,56.83,0.585,83.48,6,0.352,1,156.26
Apple,Silty Loam,63,334,8.38,65.47,3.49,2.46,4.83,2.5,36.2,14.69,27.47,1.542,0.945,71.29,1.4,301.14,8,0.586,0,0.0
Tomato,Clay Loam,61,269,27.91,53.48,0.44,0.26,18.4,2.44,35.31,22.61,34.81,6.115,1.026,85.9,0.587,74.55,5,0.437,1,68.34
Tomato,Sandy Loam,64,177,21.09,55.64,0.03,0.02,24.53,2.46,21.79,10.61,12.51,6.225,1.067,65.47,0.735,82.17,2,0.374,1,208.36
Potato,Loam,63,206,30.64,51.73,0.03,0.02,21.15,4.43,29.03,14.1,26.34,8.348,1.15,71.25,0.51,76.14,3,0.37,1,57.76
Tomato,Loam,18,34,15.18,70.7,0.27,0.15,11.18,3.0,32.04,14.59,22.47,2.809,0.6,62.27,0.656,114.47,8,0.366,1,806.54
Tomato,Sandy Loam,34,201,26.81,47.06,0.03,0.02,22.01,0.78,22.79,9.8,16.11,5.813,0.655,83.62,0.972,126.26,8,0.397,1,621.19
Tomato,Loam,117,352,12.96,74.71,5.87,4.59,9.06,0.94,29.61,14.95,29.11,1.825,1.052,77.95,0.698,102.33,2,0.439,0,0.0
Grape,Loam,123,145,20.74,55.29,0.14,0.08,23.13,1.8,33.0,14.6,28.14,5.718,0.85,60.03,0.74,136.16,13,0.463,1,778.83
Apple,Silty Loam,197,103,11.65,42.91,0.62,0.35,15.48,2.11,34.93,14.71,31.6,3.784,0.795,79.44,1.945,393.28,13,0.537,0,0.0
Grape,Sandy,32,66,13.44,60.31,0.95,0.67,15.41,2.41,18.13,8.14,16.63,3.522,0.465,64.07,0.964,96.3,7,0.454,0,0.0
Potato,Sandy Loam,111,123,25.52,56.25,0.08,0.06,20.41,1.14,24.75,10.2,22.35,5.389,1.003,73.86,0.561,81.63,3,0.372,1,54.69
Potato,Loam,82,278,18.2,82.9,0.95,0.52,13.18,3.07,32.89,14.46,28.32,2.808,1.15,68.88,0.479,88.28,1,0.35,0,0.0
Grape,Sandy,147,280,23.04,52.75,0.31,0.17,17.9,2.33,17.89,7.17,8.17,5.393,0.85,88.38,0.93,99.7,3,0.502,1,306.84
Tomato,Clay Loam,5,347,13.88,78.49,2.06,1.54,9.19,0.65,35.62,21.6,27.39,1.787,0.6,67.68,1.007,141.18,2,0.364,1,244.91
Potato,Loam,3,141,21.78,70.86,0.57,0.32,16.82,1.96,29.52,13.52,26.85,4.15,0.5,72.22,0.564,90.24,4,0.362,0,0.0
Potato,Silt Loam,13,236,19.69,50.85,0.18,0.11,21.27,2.46,31.52,12.98,27.12,5.664,0.5,69.65,0.423,78.42,7,0.389,0,0.0
Apple,Silty Loam,1,279,15.92,66.09,1.38,0.77,13.76,0.85,33.09,13.26,28.41,2.936,0.45,67.12,1.807,358.33,13,0.539,0,0.0
Grape,Loam,83,143,28.2,66.31,0.31,0.24,24.66,1.25,31.82,14.68,19.83,6.342,0.85,63.19,0.767,131.46,11,0.516,1,1600.88
Grape,Sandy Loam,235,267,34.02,46.53,0.04,0.03,20.86,2.96,24.94,9.44,18.24,8.241,0.483,86.16,0.828,128.34,10,0.536,1,643.87
Grape,Sandy Loam,87,193,30.58,34.33,0.0,0.0,28.87,3.48,22.8,10.92,16.75,10.644,0.85,84.63,0.569,67.6,5,0.535,1,203.38
Tomato,Clay Loam,117,200,27.99,50.99,0.02,0.01,21.57,2.04,37.52,22.75,27.3,6.644,1.052,57.25,1.221,180.34,10,0.445,1,2179.67
Apple,Clay Loam,48,243,22.5,69.81,2.06,1.27,19.42,3.03,37.61,21.33,33.94,4.962,0.72,82.44,1.916,311.92,10,0.58,0,0.0
Grape,Sandy,211,74,14.93,69.33,0.63,0.43,21.72,3.82,17.72,8.13,17.22,4.361,0.643,79.25,0.878,84.2,8,0.497,0,0.0
Apple,Clay Loam,62,57,7.96,67.17,0.17,0.11,8.76,2.47,35.45,22.91,28.57,1.92,0.93,88.79,1.007,126.28,2,0.559,0,0.0
Potato,Silt Loam,37,144,17.12,66.64,0.06,0.04,18.66,1.37,33.66,13.12,32.12,4.03,0.76,76.99,0.468,96.13,2,0.357,0,0.0
Potato,Sandy Loam,96,342,14.18,83.04,0.42,0.28,3.49,2.14,21.73,9.89,13.72,1.012,1.15,76.26,0.554,65.59,1,0.363,1,58.19
Apple,Silty Loam,28,121,21.08,61.55,0.71,0.46,19.5,1.33,35.07,13.57,34.57,4.71,0.45,61.15,1.761,378.62,2,0.554,0,0.0
Potato,Sandy Loam,105,297,18.62,70.43,3.28,2.29,13.57,0.62,23.85,10.24,16.37,2.951,1.083,86.11,0.486,66.14,2,0.378,1,84.43
Grape,Sandy,96,286,22.44,65.71,0.08,0.05,19.92,1.79,18.81,8.19,13.87,4.951,0.85,61.99,0.973,103.33,2,0.477,1,155.08
Potato,Silt Loam,15,224,25.75,41.7,0.04,0.03,18.48,1.07,32.58,12.06,32.08,5.311,0.5,59.75,0.504,103.42,4,0.367,0,0.0
Potato,Loam,120,219,18.22,43.54,0.17,0.12,18.81,3.21,30.26,13.42,28.08,5.683,0.883,59.84,0.597,100.53,13,0.392,1,282.74
Tomato,Clay Loam,37,265,27.29,77.22,0.54,0.34,19.08,3.6,34.02,21.04,26.58,5.095,0.696,76.19,0.74,96.05,5,0.41,1,361.31
Potato,Loam,105,264,20.95,57.36,0.05,0.02,12.68,2.79,31.47,13.44,22.03,4.206,1.083,77.39,0.463,83.48,10,0.38,1,564.77
Tomato,Loam,122,134,20.97,56.69,0.17,0.12,22.97,4.48,32.31,14.72,28.54,6.428,0.982,83.89,1.063,186.98,3,0.411,1,143.31
Tomato,Clay Loam,65,71,13.7,75.76,0.72,0.53,18.53,1.0,34.82,21.95,29.67,3.445,1.081,86.0,0.597,76.83,10,0.439,0,0.0
Apple,Loam,53,332,12.11,86.51,1.33,0.91,10.35,3.16,32.12,14.89,28.64,1.799,0.795,59.44,1.161,200.04,1,0.574,0,0.0
Grape,Loam,32,172,28.74,50.49,0.25,0.19,22.84,0.52,30.6,14.22,26.04,5.895,0.465,57.16,0.808,132.35,2,0.497,0,0.0
Potato,Sandy Loam,29,212,24.43,57.34,0.03,0.02,24.18,0.64,21.02,10.38,17.3,5.804,0.587,81.95,0.591,62.88,10,0.388,0,0.0
Potato,Sandy Loam,3,308,14.15,62.18,0.73,0.46,8.2,3.14,23.76,10.55,19.13,2.703,0.5,55.41,0.416,54.95,8,0.4,0,0.0
Tomato,Sandy Loam,108,128,23.16,62.15,0.02,0.01,25.03,3.31,24.59,9.22,12.34,6.527,1.15,62.73,1.392,213.95,9,0.35,1,2446.48
Tomato,Clay Loam,117,247,31.51,61.51,3.27,1.69,14.48,1.24,35.53,21.93,28.39,4.458,1.052,59.03,0.925,125.8,8,0.356,1,895.07
Potato,Loam,11,175,18.74,49.93,0.34,0.18,19.32,1.1,30.67,14.16,30.17,4.613,0.5,57.5,0.405,66.87,10,0.374,0,0.0
Grape,Sandy Loam,70,39,12.97,69.4,3.68,2.72,12.61,2.16,24.81,10.69,21.42,2.723,0.85,70.47,0.987,139.36,4,0.488,0,0.0
Tomato,Clay Loam,40,127,20.81,75.29,1.5,0.98,18.48,0.54,34.75,22.63,27.31,4.014,0.737,70.17,0.515,62.42,12,0.383,1,655.25
Tomato,Sandy Loam,6,90,11.7,68.92,0.87,0.68,11.52,2.75,24.34,10.79,14.68,2.564,0.6,58.08,0.983,133.2,5,0.416,1,817.47
Apple,Loam,58,32,4.32,76.98,0.75,0.49,6.59,0.97,29.16,14.0,18.69,1.039,0.87,82.34,1.73,262.27,5,0.555,1,1099.9
Tomato,Sandy Loam,33,137,21.17,82.76,0.37,0.26,16.22,3.51,22.91,10.17,12.12,3.576,0.641,65.89,1.186,151.1,2,0.435,1,388.43
Apple,Loam,132,44,5.41,62.84,0.94,0.48,6.53,4.1,32.05,13.52,31.55,1.864,1.2,55.55,1.227,227.36,11,0.561,0,0.0
Tomato,Clay Loam,1,215,28.94,64.27,0.1,0.06,21.05,2.97,35.62,21.67,28.86,6.401,0.6,74.8,0.669,93.33,2,0.357,1,120.92
Potato,Silt Loam,22,279,19.49,80.54,1.9,0.98,14.69,2.37,33.38,12.96,22.0,3.233,0.5,72.74,0.461,94.14,11,0.354,1,793.35
Grape,Sandy Loam,38,230,35.64,44.15,0.05,0.03,26.39,4.26,24.01,10.88,16.94,10.962,0.547,67.33,0.813,106.75,3,0.472,1,256.11
Potato,Silt Loam,94,14,16.4,83.65,2.87,1.55,5.43,4.08,32.82,13.97,25.48,1.596,1.15,89.79,0.437,82.37,13,0.352,1,464.4
Potato,Silt Loam,46,277,20.63,66.13,10.25,6.0,15.64,3.24,34.86,12.91,25.79,4.346,0.955,66.36,0.567,124.46,5,0.398,1,387.48
Grape,Sandy,125,8,18.94,67.88,1.45,0.95,7.8,0.83,18.43,8.65,9.65,1.96,0.85,70.53,0.616,60.24,11,0.478,1,843.52
Potato,Loam,125,315,19.02,72.83,8.87,5.02,7.83,1.46,29.14,14.86,15.86,2.099,0.817,84.1,0.408,58.26,11,0.394,1,708.69
Potato,Sandy Loam,64,38,11.14,86.16,0.26,0.2,13.47,3.55,24.39,10.75,16.78,2.116,1.15,58.35,0.544,74.2,11,0.371,1,780.43
Grape,Sandy,213,270,24.22,40.83,0.08,0.05,19.54,2.35,17.23,8.74,14.02,6.424,0.63,57.99,0.71,60.28,6,0.465,1,235.81
Grape,Sandy,62,141,28.76,53.71,0.4,0.21,18.77,2.95,17.75,7.97,15.13,6.591,0.85,71.7,0.603,58.97,10,0.504,1,220.34
Apple,Silty Loam,49,174,25.95,41.8,0.76,0.58,27.35,0.59,33.02,13.81,22.56,6.848,0.735,69.93,1.849,355.19,1,0.565,1,276.57
Apple,Clay Loam,133,122,17.77,54.39,0.39,0.26,21.19,1.65,36.66,21.04,31.07,4.956,1.2,80.14,1.72,268.66,4,0.516,1,479.9
Potato,Silt Loam,111,271,19.62,61.49,0.17,0.1,19.8,2.97,33.51,13.78,22.91,5.067,1.003,68.21,0.477,94.11,6,0.388,1,444.76
Tomato,Loam,48,40,13.66,80.0,0.96,0.51,10.64,1.03,30.07,13.94,18.95,2.051,0.847,88.36,0.7,112.91,8,0.372,1,704.75
Tomato,Sandy Loam,17,144,23.47,64.05,0.77,0.48,24.96,1.39,23.55,9.58,10.58,5.997,0.6,69.55,1.098,153.39,11,0.424,1,2252.36
Grape,Sandy,226,303,16.08,68.03,0.42,0.31,12.7,0.84,16.05,7.02,10.11,2.72,0.543,86.23,0.989,89.31,4,0.539,1,272.51
Apple,Clay Loam,36,193,29.5,36.96,0.1,0.07,22.82,2.2,35.52,22.62,26.42,7.917,0.54,85.88,1.464,188.86,8,0.594,1,1241.02
Potato,Loam,111,325,19.57,95.21,1.23,0.74,10.95,3.22,29.25,14.03,21.85,1.916,1.003,84.76,0.508,77.32,13,0.351,1,576.56
Grape,Loam,161,4,8.94,60.46,1.15,0.61,10.49,1.05,32.98,14.28,29.33,2.055,0.85,63.72,0.818,152.97,2,0.511,0,0.0
Grape,Loam,5,325,16.97,72.64,0.62,0.32,14.78,2.71,31.04,13.4,19.35,3.385,0.3,72.69,0.687,121.19,2,0.471,1,220.97
Potato,Silt Loam,119,254,28.4,47.27,0.49,0.39,17.42,2.95,31.19,13.56,26.18,6.685,0.897,69.01,0.461,81.27,4,0.379,1,133.87
Apple,Loam,174,150,23.09,60.77,0.27,0.14,19.82,3.11,30.26,13.95,22.38,5.643,1.14,81.18,1.711,279.06,9,0.527,1,1494.75
Apple,Loam,117,274,14.81,62.34,2.03,1.42,17.66,4.07,30.0,13.05,21.42,4.208,1.2,70.86,1.588,269.17,12,0.523,1,2307.37
Apple,Silty Loam,134,173,18.41,60.78,0.38,0.29,23.05,3.2,33.39,13.18,22.69,5.479,1.2,71.32,1.899,383.79,13,0.557,1,3703.74
Tomato,Sandy Loam,106,310,16.36,71.8,1.08,0.72,9.82,0.51,22.09,9.92,20.55,2.055,1.15,58.26,0.682,83.0,5,0.408,0,0.0
Potato,Loam,54,210,26.26,46.4,0.12,0.09,18.81,0.92,32.52,14.92,22.89,5.189,1.128,73.88,0.506,89.06,10,0.378,1,659.55
Potato,Silt Loam,1,175,22.06,67.7,0.06,0.04,21.86,2.08,34.97,13.55,25.37,5.263,0.5,66.87,0.511,109.46,6,0.38,1,440.16
Apple,Loam,76,340,8.46,81.94,1.58,1.19,8.54,1.65,30.83,13.13,26.23,1.458,1.14,86.16,1.97,348.69,8,0.583,0,0.0
Potato,Silt Loam,10,183,21.43,36.47,0.16,0.09,25.06,3.26,33.46,12.14,29.62,7.7,0.5,55.46,0.573,122.16,12,0.392,1,476.09
Tomato,Clay Loam,7,46,11.56,77.32,0.43,0.33,13.45,3.84,37.25,22.03,25.55,2.535,0.6,59.69,0.752,114.45,8,0.416,1,1179.21
Grape,Sandy Loam,83,66,14.04,59.61,2.59,1.45,16.63,1.13,21.76,9.75,21.26,3.472,0.85,61.64,0.542,65.09,5,0.507,0,0.0
Apple,Loam,48,71,11.35,56.05,4.12,2.57,17.29,1.24,30.27,13.01,16.32,3.404,0.72,58.74,1.915,330.53,1,0.524,1,454.79
Tomato,Sandy Loam,134,342,16.79,70.88,0.39,0.31,8.1,0.62,23.09,10.94,19.71,1.797,0.814,87.9,0.647,78.61,11,0.381,0,0.0
Apple,Clay Loam,106,181,31.82,46.67,0.03,0.02,21.75,1.81,36.45,21.7,33.8,7.156,1.2,56.17,1.863,274.79,7,0.506,1,615.25
Potato,Silt Loam,89,119,15.02,56.0,3.34,2.3,16.32,2.63,33.84,13.51,28.72,4.064,1.15,79.21,0.46,93.52,11,0.379,0,0.0
Apple,Clay Loam,170,115,7.88,59.45,1.06,0.71,15.33,2.51,37.89,22.65,36.92,2.91,1.2,61.21,1.116,170.08,13,0.571,0,0.0
Tomato,Clay Loam,119,53,13.63,64.78,3.31,2.35,13.86,3.96,34.78,22.82,27.99,3.424,1.024,68.47,1.007,120.44,3,0.371,1,299.59
Apple,Loam,27,193,26.85,42.93,0.23,0.16,18.32,3.91,30.97,13.04,22.8,7.557,0.45,61.04,1.817,325.79,4,0.538,0,0.0
Apple,Clay Loam,45,358,9.14,74.08,3.81,2.95,11.96,2.77,37.55,22.48,33.24,2.214,0.675,74.97,1.68,253.18,5,0.586,0,0.0
Potato,Silt Loam,6,278,16.28,53.45,0.04,0.03,18.78,2.94,34.43,12.46,30.57,4.795,0.5,89.92,0.506,111.17,4,0.396,0,0.0
Potato,Loam,100,25,9.67,65.83,1.18,0.6,7.52,4.07,32.53,13.32,28.12,2.228,1.15,63.26,0.414,79.53,6,0.375,0,0.0
Apple,Loam,197,8,2.37,81.1,0.01,0.01,5.34,0.67,31.25,13.46,23.65,0.744,0.795,79.1,1.365,242.83,1,0.6,0,0.0
Grape,Sandy Loam,12,14,13.26,75.69,2.04,1.08,11.97,0.69,24.19,9.45,16.29,2.275,0.3,57.61,0.959,141.36,6,0.473,1,789.04
Tomato,Loam,67,3,12.55,79.33,0.81,0.58,12.45,0.97,30.79,14.37,29.8,2.288,1.109,77.77,1.39,228.24,1,0.434,0,0.0
Apple,Silty Loam,55,318,10.26,68.71,3.0,1.6,8.78,2.95,35.38,13.76,24.6,2.132,0.825,87.3,1.979,427.86,2,0.509,0,0.0
Grape,Loam,204,303,24.03,61.83,1.84,0.95,10.2,2.25,30.1,13.11,26.12,3.596,0.69,89.6,0.586,99.56,11,0.546,0,0.0
Tomato,Loam,70,116,17.15,80.63,0.13,0.07,18.33,2.77,30.48,13.9,27.79,3.603,1.15,62.66,1.182,195.98,9,0.437,1,456.69
Tomato,Loam,134,183,28.79,50.41,0.09,0.07,23.01,4.18,29.68,14.51,25.44,8.331,0.814,66.67,0.889,134.86,7,0.406,1,395.76
Apple,Clay Loam,107,109,17.14,72.59,0.13,0.08,16.23,2.09,36.37,21.96,31.28,3.555,1.2,76.7,1.173,169.03,1,0.533,1,77.84
Grape,Sandy,47,285,23.39,65.16,1.85,1.21,19.42,1.19,17.94,8.21,10.05,4.774,0.671,62.45,0.717,69.76,3,0.53,1,271.76
Grape,Sandy,64,240,33.79,29.42,0.17,0.13,25.05,1.42,16.93,8.67,11.78,8.413,0.85,57.63,0.598,49.39,4,0.49,1,213.76
Tomato,Clay Loam,85,264,24.48,66.52,0.05,0.03,15.29,1.82,34.4,22.47,33.9,4.231,1.15,79.86,1.084,129.32,12,0.384,1,325.77
Apple,Clay Loam,66,196,31.14,41.51,0.04,0.02,21.23,4.02,35.39,21.24,25.55,9.098,0.99,59.06,1.812,256.4,12,0.517,1,3622.77
Tomato,Sandy Loam,77,111,19.57,59.06,0.59,0.35,15.05,0.79,21.76,10.53,21.26,3.536,1.15,77.46,1.452,163.06,3,0.409,1,112.47
Tomato,Clay Loam,25,306,18.27,78.11,6.62,4.59,11.04,2.52,34.94,21.99,30.36,2.649,0.6,70.21,1.23,159.28,3,0.448,0,0.0
Tomato,Sandy Loam,68,283,18.71,79.93,0.68,0.45,12.9,2.94,22.5,10.65,11.65,2.943,1.123,85.35,0.963,114.12,9,0.393,1,1101.78
Potato,Sandy Loam,99,313,-1.9,69.0,1.73,1.04,11.34,4.08,24.84,9.69,16.82,1.427,1.15,69.34,0.444,67.27,3,0.383,1,154.06
Apple,Loam,54,303,13.69,72.34,4.47,3.33,8.84,3.0,32.64,14.99,26.7,2.285,0.81,81.36,1.672,295.11,5,0.505,0,0.0
Potato,Sandy Loam,11,150,25.28,64.79,1.38,0.74,20.99,3.47,24.74,9.16,24.24,6.018,0.5,76.0,0.57,88.81,9,0.359,0,0.0
Tomato,Clay Loam,48,121,22.51,55.65,0.54,0.32,22.31,4.08,36.87,21.61,36.37,6.587,0.847,69.58,0.852,130.02,9,0.446,1,220.41
Grape,Sandy,127,162,35.37,42.81,0.0,0.0,22.27,1.03,16.6,7.52,9.87,6.959,0.85,77.0,0.881,79.99,3,0.545,1,231.01
Potato,Loam,77,76,20.97,77.62,5.45,3.36,13.88,3.82,30.3,13.31,29.8,3.52,1.15,80.89,0.447,75.95,9,0.384,0,0.0
Tomato,Clay Loam,56,318,17.31,84.41,6.63,4.0,6.09,3.87,37.01,21.6,32.15,1.674,0.957,74.24,1.107,170.59,1,0.446,0,0.0
Potato,Loam,112,348,4.39,89.75,0.3,0.23,9.42,1.28,30.06,13.33,20.76,1.225,0.99,56.58,0.414,69.26,13,0.378,1,884.63
Grape,Sandy,221,126,26.2,58.08,0.12,0.08,22.93,3.73,19.14,7.63,12.13,7.057,0.577,81.81,0.617,71.02,12,0.526,1,634.42
Grape,Sandy Loam,32,216,35.53,28.64,0.13,0.09,20.57,2.91,24.43,9.56,21.56,9.636,0.465,55.26,0.539,80.15,9,0.496,1,251.94
Grape,Sandy Loam,6,283,22.91,65.45,0.21,0.15,16.74,3.13,23.9,9.02,22.81,4.819,0.3,56.88,0.646,96.12,3,0.461,0,0.0
Potato,Sandy Loam,4,290,22.64,57.0,0.26,0.16,15.99,2.82,21.42,10.43,15.31,5.011,0.5,56.21,0.553,60.77,10,0.398,1,601.11
Grape,Sandy Loam,217,42,11.54,67.21,0.34,0.25,13.97,1.17,23.62,10.69,16.98,2.687,0.603,55.99,0.62,80.17,11,0.516,0,0.0
Apple,Loam,159,229,33.25,41.78,0.05,0.04,19.92,1.58,32.24,13.19,26.62,6.874,1.2,58.67,1.572,299.47,7,0.531,1,1054.07
Potato,Loam,16,125,13.12,66.62,1.15,0.73,17.3,1.42,31.95,13.54,21.55,3.404,0.5,78.92,0.499,91.87,9,0.378,1,591.82
Grape,Sandy Loam,54,207,34.7,49.21,0.0,0.0,26.62,3.22,21.64,10.87,17.12,9.6,0.768,67.11,0.879,94.67,13,0.516,1,769.63
Apple,Loam,86,302,13.21,75.2,1.38,0.69,7.73,0.79,29.19,14.09,22.72,1.574,1.2,64.3,1.567,236.62,5,0.502,0,0.0
Potato,Loam,38,258,18.97,62.55,0.87,0.62,15.47,3.28,32.82,13.29,25.87,4.316,0.782,88.67,0.464,90.62,12,0.354,1,436.42
Tomato,Sandy Loam,7,263,22.25,67.09,0.04,0.02,18.98,3.84,24.5,9.51,19.11,5.174,0.6,80.4,1.111,166.54,4,0.418,0,0.0
Potato,Sandy Loam,56,56,13.76,96.19,0.22,0.12,12.06,1.44,22.16,10.6,20.61,1.94,1.15,56.98,0.481,55.6,6,0.357,0,0.0
Potato,Sandy Loam,118,54,8.25,69.21,6.33,4.86,12.07,2.7,23.3,9.91,15.4,2.298,0.91,88.73,0.538,72.04,7,0.353,1,335.3
Apple,Silty Loam,84,253,17.85,58.74,0.29,0.21,23.13,2.51,33.7,13.01,26.97,5.368,1.2,69.18,1.084,224.28,9,0.575,1,949.09
Potato,Silt Loam,61,128,14.08,66.73,2.23,1.7,22.71,1.59,33.41,12.43,32.91,4.382,1.15,64.04,0.492,103.22,1,0.356,0,0.0
Apple,Clay Loam,8,95,23.37,62.09,0.83,0.47,19.63,0.9,37.02,21.58,32.16,4.774,0.45,63.6,1.8,277.92,10,0.517,0,0.0
Potato,Loam,124,349,5.14,85.94,1.93,1.5,5.6,1.67,31.22,13.26,23.78,0.867,0.83,57.76,0.45,80.82,5,0.386,1,289.82
Tomato,Clay Loam,131,39,10.23,69.11,0.92,0.72,3.74,3.72,34.31,21.81,22.81,1.662,0.856,78.89,0.568,71.0,1,0.419,1,82.8
Tomato,Sandy Loam,104,281,20.7,73.7,2.36,1.26,17.18,3.37,23.93,9.3,18.4,4.2,1.15,68.06,1.191,174.24,10,0.376,1,967.71
Grape,Loam,79,281,21.23,46.72,0.61,0.39,15.81,2.15,29.52,14.84,21.72,4.945,0.85,71.5,0.564,82.8,5,0.532,1,307.64
Grape,Sandy Loam,16,80,15.32,60.95,0.4,0.22,11.99,1.32,24.36,10.02,19.11,2.841,0.3,78.32,0.665,95.36,1,0.461,0,0.0
Grape,Sandy,138,315,18.18,70.53,0.7,0.43,11.24,1.56,18.54,7.52,11.77,2.754,0.85,63.84,0.553,60.94,13,0.469,1,762.37
Potato,Loam,116,134,18.71,80.42,0.79,0.5,18.61,4.47,30.72,13.12,22.82,3.824,0.937,73.13,0.4,70.4,1,0.372,1,43.21
Tomato,Sandy Loam,19,333,12.98,86.61,6.41,4.0,6.39,2.94,21.87,10.18,18.7,1.324,0.6,62.9,0.817,95.51,6,0.397,0,0.0
Tomato,Loam,64,133,26.13,70.45,0.29,0.17,12.79,2.41,29.72,13.65,22.99,3.919,1.067,57.0,0.696,111.85,8,0.424,1,657.41
Grape,Sandy,224,342,17.76,55.26,0.47,0.29,8.75,1.47,17.34,8.44,9.44,2.676,0.557,78.43,0.545,48.51,11,0.467,1,603.86
Potato,Loam,57,17,14.66,80.13,0.3,0.17,5.92,0.87,30.54,13.91,23.61,1.261,1.15,63.53,0.444,73.84,1,0.353,1,48.43
Tomato,Clay Loam,3,256,29.21,48.52,0.52,0.3,22.92,2.48,35.6,21.32,25.78,7.504,0.6,79.57,0.556,79.4,13,0.44,1,892.03
Potato,Silt Loam,14,220,29.61,54.21,0.07,0.05,26.21,4.16,31.82,13.16,26.39,8.753,0.5,88.09,0.463,86.4,9,0.363,1,256.86
Tomato,Sandy Loam,113,336,16.73,77.52,3.29,2.51,9.78,4.16,22.61,10.43,18.83,2.565,1.108,70.77,1.188,144.7,13,0.393,0,0.0
Grape,Sandy Loam,54,125,23.44,61.67,1.03,0.76,22.78,2.49,23.75,10.7,19.7,5.984,0.768,72.48,0.669,87.3,4,0.453,1,149.53
Grape,Sandy,91,235,31.4,36.94,0.01,0.01,26.44,1.26,18.4,8.73,10.84,8.005,0.85,89.32,0.588,56.86,13,0.473,1,646.98
Grape,Loam,166,95,18.52,69.46,1.46,1.08,16.14,4.47,30.84,13.57,24.09,4.171,0.85,75.22,0.836,144.38,9,0.465,0,0.0
